id;cpf;nome;endereco;genero
1;25087252265;Davi;Rua Padre Ângelo Gioielli;Masculino
2;12881869408;Eduardo;Rua Angélicas;Masculino
3;99297511570;Maria Eduarda;Rua Belfort Roxo;Feminino
4;46377079435;Ana Luiza;Rua Otací­lio Gomes;Feminino
5;28404403422;Samuel;Rua Alto Santa Maria;Masculino
6;72908409259;Heloísa;Rua Valdomiro Urbani;Feminino
7;67436152181;Isabelly;Travessa Jaime Eustáquio Pacheco;Feminino
8;51124515054;Gabriel;Rua Chaguaramas;Feminino
9;96492310721;Pedro Henrique;Rua David Fabricius;Masculino
10;31263866018;Rodrigo;Rua Doutor Americano;Masculino
11;33763365478;Laura;Via de Pedestre Cerebia;Masculino
12;81716830451;Beatriz;Rua Durval de Almeida Santana;Feminino
13;5532849242;Ana Julia;Rua Hemisfério;Masculino
14;44409205943;Fernanda;Rua João da Silva Moraes;Masculino
15;98341296888;Agatha;Travessa do Fado;Feminino
16;32983570908;João Pedro;Rua Cesare Badiali;Masculino
17;89830176517;Alice;Rua Jales Rodrigues Silva;Masculino
18;12037619022;Enzo;Rua Henrique Jorge Guedes;Feminino
19;27414281825;Bernardo;Rua Charles Naufal;Feminino
20;6595352117;Marina;Rua Sinfonia Escocesa;Feminino
21;40807338524;Vitória;Avenida Wando Henrique Cardim;Feminino
22;89198904809;Theo;Rua Oscarina Maria de Jesus;Feminino
23;7631411786;Isadora;Rua Margaridas Amarelas;Masculino
24;91026037484;Felipe;Via Marãni;Feminino
25;30817364986;Isaac;Rua Crispo;Masculino
26;64267421552;Caio;Rua Júlio Ribeiro Neto;Feminino
27;80993080260;João;Rua Guilherme Studart;Masculino
28;50893982407;Helena;Travessa Ângelo Berardi;Feminino
29;17561636261;Rafaela;Praça Benjamim;Masculino
30;48263445892;Lívia;Rua Francisco Cordeiro Lavaredas;Feminino
31;72851890573;Lucas;Rua Luís Morales;Feminino
32;29401772444;Rafael;Praça Ocupação;Feminino
33;5745286288;Benjamin;Rua da Independência;Feminino
34;27997334416;Julia;Rua Rosária Ana Barbosa;Masculino
35;29003676208;Yasmin;Travessa Rio Tarauacá;Masculino
36;51712798294;Clara;Rua José Branco;Feminino
37;80586387226;Esther;Rua Virgí­lio Manente;Feminino
38;19490552992;Lavínia;Rua Sardoá;Feminino
39;98914197204;Alícia;Avenida Carini;Masculino
40;60531351270;Pietro;Rua Sargento Benevides Valente Montes;Masculino
41;74587611212;Giovanna;Rua Frauenfeld;Masculino
42;21984950070;Nicole;Rua Carlos Reis;Masculino
43;44026932923;Lorena;Rua Marques Ribeiro;Masculino
44;37513565929;Maria Fernanda;Rua Henrique Gomes de Brito;Masculino
45;59403983671;Arthur;Rua Tomás de Santa Maria;Feminino
46;7969142222;Antônio;Praça Amélia Terezinha;Masculino
47;49851039934;Davi Luiz;Rua Lua;Masculino
48;77489024293;Sophia;Rua Linda Lucotti;Masculino
49;14627889399;Catarina;Rua Maria Auxiliadora;Feminino
50;30115024980;Leonardo;Rua Doutor Ibsen da Costa Manso;Feminino
51;88369044832;João Gabriel;Avenida Doutor Mário Vilas Boas Rodrigues;Feminino
52;38742640849;Maria Luiza;Rua Anael;Masculino
53;76147961446;Maria Clara;Praça Virgí­lio Lúcio;Feminino
54;99872302456;Guilherme;Travessa Fantasia Cromática;Feminino
55;16389687052;Henrique;Rua Verão Vermelho;Masculino
56;23062274891;Bryan;Rua César Aretusi;Masculino
57;58941122147;Amanda;Rua Ribeirão Pires;Feminino
58;29659713606;Carolina;Rua Alvaro Martins Sevilha;Feminino
59;29657933480;Murilo;Praça Estrela do Norte;Masculino
60;69387272362;Sarah;Rua Alexandre Davidenko;Feminino
